question,answer
Is dexamethasone affordable/what is the proce per treatment?,"Dexamethasone is an off-patent, common supportive treatment option and is generally affordable. WHO 2016 and 2019 surveys of different health facilities in low- and middle-income countries indicate that dexamethasone was available to patients at a median price of $0.33 per 4mg/ml injection ampoules (range: US$0.13-$3.5). Major UN procurers may be able to supply dexamethasone for a median price of $0.092 per 4mg/ml injection ampoule."
Are there any import restrictions?,"There are likely no restrictions, as dexamethasone is authorized worldwide."
What are the risks of Substandard or Falsified (SF) products?,"There are 21 records of falsified dexamethasone in the WHO Global Surveillance and Monitoring System database with the most recent one received from the Eastern Mediterranean in February 2020.

It is expected that, following the high level of publicity given to the medicines, incidents of substandard and/or falsified dexamethasone products will occur. This is based on experience with reports of falsified chloroquine products when hydroxychloroquine was thought to be a potential treatment for COVID19

Increased vigilance throughout all supply chains and due diligence in any procurement activities are essential. Member States and regulatory authorities are encouraged to promptly report any incidents of substandard or falsified dexamethasone to the WHO global surveillance and monitoring system."
What is the worldwide production capacity?,Work is ongoing to determine producers of licensed and quality assured products. Further assessments of additional production capacity will be undertaken.
Can COVID-19 be passed through breastfeeding?,Transmission of active COVID-19 (virus that can cause infection) through breast milk and breastfeeding has not been detected to date. There is no reason to avoid or stop breastfeeding.
"In communities where COVID-19 is prevalent, should mothers breastfeed?","Yes. In all socio-economic settings, breastfeeding improves survival and provides lifelong health and development advantages to newborns and infants. Breastfeeding also improves the health of mothers."
"Following delivery, should a baby still be immediately placed skin-to-skin and breastfed if the mother is confirmed or suspected to have COVID-19?","Yes. Immediate and continued skin-to-skin care, including kangaroo mother care, improves the temperature control of newborns and is associated with improved survival among newborn babies. Placing the newborn close to the mother also enables early initiation of breastfeeding which also reduces mortality.

The numerous benefits of skin-to-skin contact and breastfeeding substantially outweigh the potential risks of transmission and illness associated with COVID-19."
Can women with confirmed or suspected COVID-19 breastfeed?,"Yes. Women with confirmed or suspected COVID-19 can breastfeed if they wish to do so. They should:

- Wash hands frequently with soap and water or use alcohol-based hand rub and especially before touching the baby;
- Wear a medical mask during any contact with the baby, including while feeding;
- Sneeze or cough into a tissue. Then dispose of it immediately and wash hands again;
- Routinely clean and disinfect surfaces that mothers have touched.

It is important to replace medical masks as soon as they become damp and dispose of them immediately. Masks should not be reused or touched in the front."
If a mother confirmed or suspected to have COVID-19 does not have a medical face mask should she still breastfeed?,"Yes. Breastfeeding unquestionably reduces mortality in newborns and infants and provides numerous lifelong health and brain development advantages to the child. 

Mothers with symptoms of COVID-19 are advised to wear a medical mask, but even if this is not possible, breastfeeding should be continued. Mothers should follow other infection prevention measures, such as washing hands, cleaning surfaces, sneezing or coughing into a tissue.

Non-medical masks (e.g. home-made or cloth masks) have not been evaluated. At this time, it is not possible to make a recommendation for or against their use."
I have confirmed or suspected COVID-19 and am too unwell to breastfeed my baby directly. What can I do?,"If you are too unwell to breastfeed your baby due to COVID-19 or other complications, you should be supported to safely provide your baby with breast milk in a way possible, available, and acceptable to you. This could include:

- Expressing milk;
- Donor human milk.

If expressing breast milk or donor human milk are not feasible then consider wet nursing (another woman breastfeeds the child) or infant formula milk with measures to ensure that it is feasible, correctly prepared, safe and sustainable."
"I had confirmed or suspected COVID-19 and was unable to breastfeed, when can I start to breastfeed again?",You can start to breastfeed when you feel well enough to do so. There is no fixed time interval to wait after confirmed or suspected COVID-19. There is no evidence that breastfeeding changes the clinical course of COVID-19 in a mother. Health workers or breastfeeding counsellors should support you to relactate.
"I have confirmed or suspected COVID-19, is it safer to give my baby infant formula milk?","No. There are always risks associated with giving infant formula milk to newborns and infants in all settings. The risks associated with giving infant formula milk are increased whenever home and community conditions are compromised, such as reduced access to health services if a baby becomes unwell, reduced access to clean water and/or access to supplies of infant formula milk are difficult or not guaranteed, affordable and sustainable.

The numerous benefits of breastfeeding substantially outweigh the potential risks of transmission and illness associated with the COVID-19 virus. "
What is self care?,"WHO’s definition of self care is the ability of individuals, families and communities to promote health, prevent disease, maintain health, and to cope with illness and disability with or without the support of a health worker. "
What are self-care interventions?,"Self-care interventions recommended by WHO are evidence-based and can include information about a sexual or reproductive health issue as well as ways in which individuals can obtain drugs, devices, diagnostics and/or digital products fully or partially separate from formal health services that can be used with or without the direct supervision of a health worker. For example, self-injectable contraception, HPV self-sampling kits or HIV self-tests."
Why are self-care interventions important during a pandemic like COVID-19?,"With the major disruptions to the normal functioning of national health systems caused by the need to respond to people who have or are affected by the virus, evidence-based, high-quality self-care interventions can provide an important alternative to the usual health facility- or health worker-based services. Self-care is a valuable part of a well-functioning health system and can be particularly useful when physical distancing measures make it more difficult for people to access their normal health care services and medications."
Do I need to see a health worker for self care actions?,"Self-care interventions provide individuals, families and communities with a way to manage their own health at home. Some self-care actions, such as washing your hands and practicing good respiratory hygiene measures that protect you from COVID-19, do not need you to meet with a health worker. Other self-care interventions, such as obtaining a prescription for hormonal contraception and abortion medications or counselling during pregnancy, will need interaction with a health worker. Such support can be provided in different ways during this pandemic and will depend on the healthcare arrangements in place where you live; for example, some medicines are available over-the-counter without a prescription in a pharmacy, or counseling and important information during pregnancy and when caring for a newborn can be provided over the phone or online."
What self care actions can I take to protect my sexual and reproductive health?,"In 2019, WHO issued a new guideline that brought together 32 existing or new recommendations on a range of sexual and reproductive health self-care interventions. The guideline has recommendations on pregnancy and newborn care, contraception, abortion, sexually transmitted infections including HIV and HPV, and for sexual health more broadly. "
How can I get healthcare support during the COVID-19 pandemic for a self-care intervention?,"There are a number of ways in which support can be provided:

Digital technologies and platforms, such as helplines through the phone or online or websites of organizations with recognized expertise may be available for consultation or follow up. Such information sources could enable you to then proceed with obtaining and self-administering an injectable contraceptive or self-testing for HIV, for example.

It may also be possible to get over the counter medical devices, medicines, information and diagnostics through pharmacies or drug stores. Menstrual hygiene products, pregnancy tests, condoms and emergency contraception pills are usually available over-the-counter and depending on where you live, contraceptive pills and drugs that protect you from getting HIV if you think you have been exposed to risk.

You may also be able to receive communications in a variety of ways that can help keep you healthy. Examples include notifications and reminders about taking medicines sent by SMS or email. "
Is self care safe?,"For all of the recommendations on self-care interventions on sexual and reproductive health issued by WHO, the evidence to date suggests that self care is safe, with the right level of support by the health service as needed.

Self-care can also benefit health workers, by allowing them to serve a greater number of patients and deploying their clinical skills where greatest need exists. During a pandemic such as COVID-19, adopting self-care as part of the healthcare system can also reduce the exposure of health workers to infection as self-care will reduce the number of in-person contacts with a health worker."
Who is self care for?,"Self care can be practiced by everyone and evidence-based self-care interventions have the potential to benefit even the most vulnerable populations. For individuals who may need to access information, counselling or a health services before, during or after accessing a self-care intervention, links with existing health services remains important. Examples of providing access to referrals and health facilities for non-COVID-19 related SRH conditions may include ensuring antenatal care visits, delivery and postpartum care; retesting and HIV treatment if an individual’s HIV self-test is positive along with other STI diagnostic and treatment as required. In addition, crisis centers, shelters, legal aid, and protection services for individuals subject to violence. "
Why was the use of hydroxychloroquine stopped in the Solidarity Trial?,"On 17 June 2020, WHO announced that the hydroxychloroquine (HCQ) arm of the Solidarity Trial to find an effective COVID-19 treatment was being stopped. 

The trial's Executive Group and principal investigators made the decision based on evidence from the Solidarity trial, UK's Recovery trial and a Cochrane review of other evidence on hydroxychloroquine.

Data from Solidarity (including the French Discovery trial data) and the recently announced results from the UK's Recovery trial both showed that hydroxychloroquine does not result in the reduction of mortality of hospitalised COVID-19 patients, when compared with standard of care."
What will happen to the people who were already enrolled in the hydroxychloroquine arm of the trial?,"Investigators will not randomize further patients to hydroxychloroquine in the Solidarity trial. Patients who have already started hydroxychloroquine but who have not yet finished their course in the trial may complete their course or stop at the discretion of the supervising physician. 

The use of hydroxychloroquine and chloroquine are accepted as generally safe for use in patients with autoimmune diseases or malaria."
What is WHO’s view of the use of hydroxychloroquine in pre or post-exposure prophylaxis?,The decision to stop hydroxychloroquine’s use in the Solidarity trial does not apply to the use or evaluation of hydroxychloroquine in pre or post-exposure prophylaxis in patients exposed to COVID-19.
What is the Solidarity Trial?,"The Solidarity Trial is an international clinical trial to help find an effective treatment for COVID-19, launched by WHO and partners. It is hoped that one or more of the treatments under trial will result in improving clinical outcomes in COVID-19 patients and save lives. Other trials are on-going around the world in addition to the Solidarity Trial. 

The treatment options are: Remdesivir; Lopinavir/Ritonavir; and Lopinavir/Ritonavir with Interferon beta-1a. The treatment options were originally selected based on evidence from laboratory, animal and clinical studies. Hydroxychloroquine was originally included in the trial but this arm was stopped, as of 17 June 2020, as evidence showed it did not result in the reduction of mortality of hospitalised COVID-19 patients, when compared with standard of care.

Over 100 countries have expressed an interest in participating in the trial and WHO is actively supporting more than 60 of them, including with the following:

- ethical and regulatory approvals of the WHO core protocol;
- identification of hospitals participating in the trial;
- training of hospital clinicians on the web-based randomization and data system;
- shipping the trial drugs as requested by each participating country.

As of 3 June 2020, more than 3500 patients have been recruited in 35 countries, with over 400 hospitals actively recruiting patients. 

Interim trial analyses are monitored by a Global Data and Safety Monitoring Committee, which is an independent group of experts."
Can I get COVID-19 from food?,There is currently no evidence that people can catch COVID-19 from food or food packaging. COVID-19 is a respiratory illness and the transmission route is through person-to-person contact and through direct contact with respiratory droplets generated when an infected person coughs or sneezes. 
"Can the virus live on the surface of foods (including fruits and vegetables, frozen foods, pre-packaged foods)?",Coronaviruses cannot multiply in food – they need a live animal or human host to multiply and survive
"How to wash fruits and vegetables? Just with water, or something else?",Washing fruit and vegetables with potable water is sufficient: it is recommended to follow the WHO 5-Keys to Safer Food. 
Can the virus live on the surface of food packaging? How long? Is it necessary to disinfect?,"It is not necessary to disinfect food packaging materials, but hands should be properly washed after handling food packages and before eating."
How long is it to cook food? To what temperature to kill the virus?,"This virus is not more resistant to heat than the usual viruses and bacteria found in food. As recommended for good hygiene practice, foods should be thoroughly cooked to at least 70°C. It is recommended to follow the WHO 5-Keys to Safer Food. "
What precautions should consumers take in grocery stores?,"Consumers should maintain a safe physical distance of at least one metre from all other shoppers and staff while queuing before entering the store and while shopping in the store. If a trolley or basket is used while shopping, sanitize the handle before and after use. Hands should be sanitized before entering the store. Practice good coughing/sneezing etiquette while in the store. Avoid touching mouth, nose or eyes during shopping. Minimise direct hand contact with food by using available tongs and serving utensils. Use contactless payment rather than cash/notes (where feasible).  "
Is food/grocery delivery safe?,"Yes, if the provider follows good personal and food hygiene practices. After accepting food/grocery deliveries, hands should be washed with soap and water. "
What is the best household disinfectant for surfaces?,"Regular household cleaning and disinfection products will effectively eliminate the virus from household surfaces.  For cleaning and disinfecting households with suspected or confirmed COVID19 illnesses - surface virucidal disinfectants, such as 0.05% sodium hypochlorite (NaClO) and products based on ethanol (at least 70%), should be used."
Is it still safe to go to food markets? Animal markets? Wet markets?,"It should be safe provided it is possible to maintain a safe physical distance of at least one metre from all other shoppers and staff, it is possible to wash/sanitize hands, and that Good Manufacturing Practices and Good Hygienic Practices (GMP/GHP) standards are maintained in the market. For more recommendations on how to minimise the risk of transmission of emerging pathogens in wet markets, see the WHO recommendations to reduce risk of transmission of emerging pathogens from animals to humans in live animal markets or animal product markets."
Can adolescents catch COVID-19?,"Yes. All age groups can catch COVID-19. While we are still learning about how COVID-19 affects people, older persons (e.g. persons over 60 years) and persons with pre-existing medical conditions, like high blood pressure, heart disease, lung disease, cancer or diabetes, appear to develop serious illness more often than others. As this is a new virus, we are still learning about how it affects children and adolescents. Evidence to date suggests that children and adolescents are less likely to get severe disease, but severe cases and death can still happen in these age groups."
Can adolescents spread COVID-19 to other people even if they have mild or no symptoms?,"Yes.  Infected people in all age groups – including adolescents - can transmit the virus to other people, even if  they have mild symptoms or do not feel ill. The virus is spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs, sneezes or speaks. These droplets can land on objects and surfaces. People can then become infected by touching these objects or surfaces, and then touching their eyes, nose or mouth. "
"Since there are few known cases of adolescents getting seriously ill with COVID-19, should I go to a health facility if I develop symptoms of the disease?","If you have minor symptoms, such as a slight cough or a mild fever, there is generally no need to seek medical care. Stay at home, self-isolate and monitor your symptoms. Follow national guidance on self-isolation.  

Avoiding contact with others and visits to medical facilities will allow these facilities to operate more effectively and help protect you and others from possible COVID-19 and other viruses.

Seek medical care if your health gets worse, or if there is no one in your family that can take care of you at home. It is important that you follow the procedures put in place by your country. Ask a family member or another trusted adult how you can find out what these procedures are where you live."
What should I do if someone in my family gets really ill with COVID-19?,"Seek medical care, if members of your family get seriously ill.  If possible, either you or an adult should phone the local or national COVID-19 emergency number for advice on where and how you could get care. If your family member is confirmed as having COVID-19, you must be prepared that you and other known contacts will need to monitor your symptoms, and continue to self-quarantine for 14 days, even if you feel healthy."
I am on medication for a chronic health condition. Should I change anything?,"It is important to continue with any medication you may be using for chronic and other conditions, such as asthma, diabetes, HIV infection and TB, and attend recommended check-ups.  Check with your health authorities and health provider if these check-ups should be done differently during the COVID-19 outbreak. Some services, such as counselling, may be available remotely. For treatment of clinically stable adolescents with HIV and adolescents with TB and/or other chronic conditions, your health provider should consider multi-month prescriptions and dispensing which will reduce the frequency of your visits to the clinic and ensure continuity of treatment, if movements are disrupted during the pandemic.  Adherence to treatment is just as important during this period. "
"I was due to get vaccinated for HPV, meningitis or tetanus, but immunization services have been disrupted. Should I be concerned?","WHO recommends that all vaccination in schools and mass campaigns should be postponed during the COVID-19 pandemic. However,  vaccines provided to adolescents have sufficiently flexible schedules to make sure you can get the vaccine in time when vaccination services start again. For example, the HPV vaccine that requires two doses can be started any time between 9 and 14 years of age and the interval between the two doses can be longer. The minimum interval between doses is 6 months, but it can be 12 or 15 months and, if necessary, even longer. It is most important hat you receive the t second dose at some point in time to be fully protected.

Decisions to continue routine vaccination services are made by each country. Ask a family member or another trusted adult how you can get information about vaccination services where you live.  It is important you get the vaccines you are supposed to get, even if they have to be delayed due to the COVID-19 pandemic. "
"I am bored staying home. Since I am very unlikely to get severely ill even if I was to get COVID-19, why is it important that I follow the guidelines to prevent transmission such as keeping physical distance from other people?","Staying at home is difficult and can get boring, but it may help to do something you enjoy. This could be reading a book, playing games or listening to music. Try to stay connected with friends and family every day either by communicating with them by phone or internet if you can, or, if you live close to them and the local rules allow you to, by talking in-person while keeping your distance.

At the same time, it is still really important that you reduce your chances of being infected or spreading COVID-19 by washing your hands with soap and water or alcohol-based hand rub  as often as possible, keeping at least 1 metre (3 feet) from other people, and avoiding crowded places. You might be one of the unlucky adolescents who does get severely ill if you catch COVID-19, or you could spread it to others and be responsible for them getting really ill or even dying. You have the power to make choices that could save lives and together young people can play an important part in fighting COVID-19."
Some of my friends are not sticking to the rules about physical distancing. What should I do?,"Explain to your friends why it is important to protect themselves and others by washing their hands, avoiding touching their face, always coughing or sneezing into their elbow, sleeve, or a tissue, and cooperating with physical distancing measures and movement restrictions when called on to do so. Maybe you can share ideas for fun virtual activities that your friends can participate in,  and you can encourage them to do them together with you or with other friends. This way you are giving them alternatives rather than just telling them to stay at home. But, remember that you do not have control over other peoples’ actions so do not get into an argument or a fight to try to change their minds. "
I am feeling really anxious about COVID-19 and its impact on my life. What should I do?,"In situations like a pandemic it is very normal to feel anxious and powerless, and that is ok. Here are a few suggestions on things that could help you proactively manage your anxiety:

Think about how you are feeling. Don’t ignore your feelings, especially if you don’t feel well. When your life is disrupted, it is normal to have many different feelings: worry, frustration, sad, stress, anger, anxiety - this can happen to everyone.  Draw on skills and strategies you have used in the past that have helped you to manage life challenges, and skills to help you manage your emotions. Here are a few examples:

- Keep a diary
- Express your feelings through art, like writing a poem, drawing, dancing, or playing music
- Talk about your feelings and concerns with someone you trust
- Try some breathing exercises. You may find guided breathing exercises online if you have access to internet. 

Do something active every day: Any exercise will help, as it reduces levels of the body's stress hormones, which can help your body and mind relax. Exercise also produces a “feel good hormone” called endorphins which can help to improve your mood. Try taking a walk, running, or any physical activity outdoors while keeping a distance from others. For those who are unable to leave the house, you could open the window for fresh air and do some indoor exercises to stay active.

Don’t use smoking, eating, alcohol or other drugs to deal with your emotions.

Stay connected with friends and family either by communicating with them by phone or internet if you can., If you live close to them and the local rules allow you to, you could also talk to them in person while keeping your distance.

Keep a daily routine as much as possible. Try to go to bed and wake up at the same times every day, making sure you get enough sleep. Plan ahead and try to have a balance of activities such as keeping up with schoolwork, physical exercise, connecting with friends and family, doing things you enjoy, and eating regular meals.

Talk to a health worker or counsellor if you, or someone you care about:

- feel overwhelmed with emotions like sadness, fears and worries
- feel like stress gets in the way of your daily routines, or
- feel like you want to harm yourself or others.

At this time, you may find it easier to speak to a counsellor than a health worker, given that there may be restrictions on movement and health facilities may be busy caring for those with COVID-19.   "
When will this pandemic end so I can go back to school and meet up with my friends?,"We don’t know when the pandemic will end, but we know it depends on every individual’s contribution in helping stop the transmission. The sacrifices you have made by not seeing your friends and by stopping going to school and other activities are your contributions to fighting the pandemic. By putting societies and economies on hold, we have reduced the ability of the virus to spread through our communities. These defensive measures have helped to limit some of the short-term impacts of the virus, and bought us time to translate what we have learned about the virus into solutions so that we can get back to a more familiar way of living. It is important that you continue to practise these measures and encourage your friends to do the same."
Schools are reopening in some areas of my country. Is it safe to go back to school?,"A decision to reopen schools in every country and area is made based on careful assessment of the situation, with consensus among all the key parties involved, including the health and education policy-makers, teachers and other school staff, parents and health and community workers. In addition, the reopening of schools are carefully planned and prepared, with all necessary measures in place to protect the safety and health of everyone in the school community.

Therefore, if your school reopens, you should feel assured it is safe for you to go back to school – provided that you strictly follow the guidelines and rules that will be provided by your school.

Of course, if you have any concerns with going back to school, do not hesitate to speak out to your teachers and parents or guardians. "
"I know there is a risk of getting COVID-19 at the moment, but I feel fine. Can I still play sports?","Yes. You can still play sports that are in line with the physical distancing measures and movement restrictions that are in place in your country. Being physically active is good for your health, both physical and mental. Set up a regular routine to practice activities or sports that do not require close contact with others every day for 1 hour. You can do individual sports, like jogging, walking, dancing or yoga. There are many options to try. You can set up playground games indoors, such as jump rope and hop-scotch, play with your brothers and sisters, and practice some strength training activities, using improvised weights like bottles full of water or sand. If you have access to the internet, you can also join in online active games or fitness classes, or set up your own online physical exercises with your friends or classmates. Find an activity that is fun, can be done within the restrictions that are in place in your country, and makes you feel good."
I am missing out on my education because of the COVID-19 pandemic. What should I do?,"Your school or place where you are studying are likely to make arrangements for you to catch up or to do exams at another time. Follow the procedures that your school has put in place to reduce the immediate impact of school closures, and to facilitate the continuity of education. If you have access to internet, you can also consult your teachers and other trusted adults to identify and access reliable online learning opportunities and resources, including those included in the distance learning solutions recommended by UNESCO, the United Nations agency that helps countries improve their education systems. In addition, UNESCO is collecting stories from students, teachers and parents about how they are coping and continuing to learn during school closures. Access those stories, they might inspire you. You can also contact UNESCO and share your story!

In places where internet connectivity is a problem, many governments have started to broadcast educational programmes on TV and radio channels during school closures. If you live in such a place, look out for educational programmes on your local TV and radio channels."
"COVID-19 is everywhere in the news, and I am finding it difficult to know what is true and what is false. What should I do?","A near-constant stream of news, sometimes contradictory, can cause anyone to feel lost and distressed. Make sure to use reliable sources such as the UNICEF and the World Health Organization’s sites to get information, or to check any information you might be getting through less reliable channels.

If you have a phone, you can use the WHO Health Alert on WhatsApp to get the latest information about the pandemic. This is a new service, which is free to use, designed to give prompt, reliable and official information 24 hours a day, worldwide. Start by clicking WHO Health Alert, then simply text the word ‘Hi’ in a WhatsApp message to get started. Keep in mind that overloading yourself with information about the COVID-19 pandemic can also be stressful, so seek information updates and practical guidance at specific times during the day and avoid listening to or following rumours that make you feel uncomfortable."
Is it safe to have sex at this time?,"There is no evidence that COVID-19 is transmitted through semen or vaginal fluids. However, having sex with someone means that you are very close to them. This puts one person at risk if the other person has COVID-19. Masturbation does not involve another person, and carries no risk of COVID-19. Also, having sex with a partner whom you are living with does not carry this risk if both of you are taking steps to protect yourself from the virus. Make sure to use condoms and contraception to avoid sexually transmitted infections and unintended pregnancy."
"In the lockdown, I am spending much more time online playing games, socialising and studying. Should I be worried about this?","COVID-19 has abruptly pushed many people’s daily lives online, and you may be spending even more hours online than before. While online solutions provide huge opportunities for continuing your learning, socializing and playing, you should try to limit the amount of screen time that is not related to your studies or physical activity. This is because you need to be physically active to keep healthy and a positive attitude. In addition, some people are sensitive to flickering lights and may get headaches, nausea, and dizziness, and even seizures if they spend too much time in front of a screen. Therefore it is important to replace some of the recreational screen time with non-screen activities, like listening to music, reading, playing board games, and physical activity, like  going for a walk or jog. Excessive gaming can lead to “gaming disorder” that leads to reduced sleep or day-night reversal, loss of appetite, aggression, headaches, and attention problems. If you experience these symptoms, seek help from your parents or a trusted adult. "
I heard I can be hurt by online contacts. What are my risks and how I can protect myself online.,"Since you might be spending even more time online than before, it is wise to be aware of some of the risks. First, be careful what content you share online. Risky behaviour, such as sexting or sharing of sexualized content, can expose you to risks of blackmail, harassment and humiliation. Second, spending more time online may increase the chances that you could come into contact with online predators who seek to sexually exploit young people. When in front of webcams wear appropriate clothing and do not connect with teachers or virtual classrooms from a bedroom. In addition, it’s important to note that some adolescents – for example those with disabilities and those perceived to be different or at greater risk of catching or spreading COVID-19 - may be at increased risk of cyberbullying and discrimination. Hurtful, discriminatory or inappropriate online contact is never okay. If in doubt, or if you feel uncomfortable or distressed about some interactions you have online, tell a parent or another trusted adult immediately."
"Since my parents stopped going out to work, they have been arguing with each other much more, and in some instances, I have seen one parent harm or hurt the other either verbally or physically. I don’t feel safe at home. What should I do?","This is a difficult time. Many people – including perhaps your parents - are worrying about security, health, and money. When people are in the cramped and confined living conditions of lockdown, these tensions and stress can become even greater. It is normal to have disagreements. However, if the disagreements become verbal or physical, then it is right to take action.

If you are worried about what is happening in your home, or don’t feel safe, talk to a trusted adult about what worries you, and seek their advice. During an argument or a fight, try not to draw attention to yourself so that you don’t end up getting hurt. It might be useful to have a safety plan in case the violence escalates. This includes preparing a bag with essential items, like clothing, documents and electric charger, and having a neighbour, friend, relative, or shelter identified to go to should you need to leave the house immediately for safety reasons. Arrange with the trusted adult to help you alert the relevant authorities who can help you stay safe, including the police, emergency health services and social services.

In many of the countries that have been most affected by COVID-19, essential services are still available, including shelters or protection services. If there are no trusted adults for you to share your concerns with, your country may have helplines, including text services so that you can communicate with someone who can help you or give you advice."
I don’t like the way someone touches me at home and we are both at home all the time because of the pandemic. What should I do?,"It is wrong for anyone to do this. And it is not your fault in any way. If you are staying in the same house as the person and/or are dependent on him (it will usually be a man), that may make some of the things that you could do difficult, especially during stay-at-home restrictions due to COVID-19. Here are some things that you can consider doing to improve your safety while in the house.

- You could tell him politely but firmly that you do not want him to touch you and ask him to please stop.
- You could inform your parents or other caregivers or trusted adult in the house about what is happening.
- You could inform a trusted adult outside your home such as a neighbour or a teacher or family friend or relative.
- If you have access to a phone, you could call or text for help and support. This includes calling hotlines/helplines for children and women who are in need of help or feeling distressed or subjected to abuse, or calling a child protection service in your area. Be careful not to leave your phone calls or text messages where anyone else could access them. 
- If you need to leave the house immediately because he is hurting or harming you, think of discretely (without him overhearing) pre-arranging with a neighbour or trusted relative or family friend to help you leave the house and stay with them until it is safe for you to return home.
- If you have been sexually abused or raped and need urgent medical help or care, go as soon as possible to the nearest hospital or clinic to ask for medical care.   "
What is serology?,"Serologic tests measure the antibody response in an individual.  Antibodies to COVID-19 are produced over days to weeks after infection with the virus. The presence of antibodies indicates that a person was infected with the COVID-19 virus, irrespective of whether the individual had severe or mild disease, or even asymptomatic infection.

To accompany COVID-19 surveillance, seroepidemiologic studies are conducted to measure the extent of infection in the population among people who did not seek health care and were missed by current surveillance efforts because they either had no or mild symptoms. With any novel virus, including the COVID-19 virus, initial seroprevalence in the population is assumed to be negligible due to the virus being novel in origin. Therefore, surveillance of antibody seropositivity in a population can allow inferences to be made about the extent of infection and about the cumulative incidence of infection in the population."
What is the difference between molecular testing and serologic testing?,"Molecular testing, or PCR testing, detects genetic material of the virus and so can detect if a person is currently infected with the COVID-19 virus (SARS-CoV-2).  The full genomic sequence of the virus was shared by Chinese authorities in early January, which enabled many laboratories to develop PCR assays that are now used to detect cases all over the world.

Serological testing detects antibodies against the virus, and so can detect if a person had a recent (IgM) or past (IgG) infection with the COVID-19 virus. Serologic tests cannot be used to diagnose acute infection with the COVID-19 virus."
Does the presence of antibodies mean that a person is immune?,"No - Currently, no study has evaluated whether the presence of antibodies to SARS-CoV-2 confers immunity to subsequent infection by this virus in humans.

The development of antibodies to a pathogen through natural infection is a multi-step process that typically takes place over 1-2 weeks, but the process to develop a full immunologic response may be longer. Most COVID-19 studies on the presence of antibodies to date show that people who have recovered from infection have antibodies to the virus. However, some of these people have very low levels of antibodies able to neutralize virus in their blood. "
How is WHO using serology as part of its response?,"WHO is providing a global platform for public health professionals and researchers on the use of serology for public health purposes and research in the context of COVID-19.

WHO is working with collaborating laboratories and FIND to develop new and evaluate and validate available serologic assays for COVID-19.  There are currently several hundred immunoassays marketed for COVID-19 including enzyme-linked immunosorbent assays (ELISA), rapid immunodiagnostic tests (RDT)s and high throughput automated platforms. The first validation data on ELISAs and RDTs have been published, but the results are based on limited datasets and not all have been conducted with well characterized samples from COVID-19 patients. Laboratories have also developed neutralization tests which require biosafety level 3 facilities.

Within WHO’s Solidarity II global collaboration, WHO is working partners to facilitate accelerate the development the global sharing of well characterized panels of sera to enable standardization of serologic assays worldwide, and to develop standardized serologic assays for collaborators to use. 

In addition, WHO in collaboration with technical partners, has adapted early epidemiological investigations protocols for COVID-19 from pandemic influenza and from MERS-CoV to better understand these characteristics and how they may be used to inform public health measures. These are called the Unity studies and WHO is currently working with more than 40 countries to implement these studies:

- First few X case and contacts
- Health worker seroepidemiologic investigation of risk factors for infection
- Household transmission study
- Age-stratified population based serologic study"
What are the expected results from serologic studies?,"The results from seroepidemiologic investigations, whether individually or pooled across study sites/countries, will help to understand and provide robust estimates of key clinical, epidemiological and virological characteristics of COVID-19 virus, including:

- Key epidemiological parameters, including: secondary infection rate and secondary clinical attack rate of COVID-19 infection among close contacts, asymptomatic fraction of infection, serial interval and incubation period of COVID-19, the basic reproduction number (R0) and Rt of COVID-19 virus.
- Clinical presentation of COVID-19 infection and course of associated disease
- Risk factors for transmission and infection and identification of possible routes of transmission
- Impact of infection prevention and control measures in health care settings
- Serological response following symptomatic COVID-19 infection.
- Age-stratified seroprevalence of COVID-19 virus
- Cumulative incidence of infection, including extent of age-specific infection
- Infection and disease-severity ratios (case‑hospitalization ratio [CHR] and case-fatality ratio [CFR])."
When can we expect results?,"WHO is in regular contact with countries that are implementing the Unity studies, participating in the Solidarity II study, or that are conducting seroepidemiologic studies using their own study protocols. We have established communication between partners in countries to carry out studies to share experiences, challenges and successes and discuss results as they become available.

Early results from population based serologic studies are becoming available now, with more expected across the weeks to follow.  "
What are the limitations of serology for a novel pathogen?,"As early results become available, it is important to understand the population involved in the study, what samples were tested, how and when samples were collected, which serologic assay(s) were used and how the authors interpreted the results. 

At the current time, the biggest uncertainty remains the performance of serologic tests in terms of sensitivity and specificity, which should also assess cross-reactivity with other coronaviruses such as human coronaviruses, SARS-CoV and MERS-CoV, as well as how well the correlate with protective immunity (protection against re-infection)."
What are the results of seroepidemiology studies?,"Early results from Germany, the Netherlands, the United Kingdom, France, Denmark, the United States of America, Switzerland, Finland, Japan, Italy, China, Spain, Brazil, Croatia, Andorra and Luxembourg have shown that for most populations under study, the extent of infection is below 10%, with the exception of: one German study (14%), a report among first responders in New York State (10-17%), and two pre-print papers from Trieste, Italy (17.2%) and blood donors and children in London (11.3%). There are now four peer-reviewed publications online: one from non-COVID-19 patients in Wuhan, China, one in community and hospital settings across different regions in China, one in the general population in Boise, Idaho, and one among residents of Hong Kong.  The remaining studies have not yet completed the peer-review process and some are only available on pre-print servers with the rest reported as press releases with minimal information.

These results will be updated as more results become available. WHO has not yet conducted a detailed review of each study results as full papers are not yet available."
What do the results of seroepidemiology studies mean?,"The results from the early seroepidemiologic studies, acknowledging the limitations described above, indicate that few people have evidence of infection thus far.  This suggests that many people remain susceptible to infection, which is important in planning for subsequent resurgence in infection."
